TestType,BuildVariant,Nodes,TotalTasks,TasksPerNode,ThreadsPerTask,EnergySources,XDim,YDim,Iterations,TotalTime,ComputationTime,InternalCompTime,BorderCompTime,CommunicationTime,InitTime
strong,ofast_omp_improved,16,32,2,56,8,16384,16384,500,6.5126,6.0278,5.7621,0.2704,0.4123,0.0443
strong,ofast_omp_improved,16,256,16,7,2,16384,16384,500,0.7741,0.7306,0.6993,0.0344,0.1012,0.0066
strong,ofast_omp_improved,16,256,16,7,8,16384,16384,500,0.7524,0.7015,0.6705,0.0343,0.0791,0.0067
strong,ofast_omp_improved,8,64,8,14,1,16384,16384,500,3.0025,2.8750,2.8048,0.0729,0.2404,0.0230
strong,ofast_omp_improved,8,64,8,14,2,16384,16384,500,2.9573,2.8284,2.7586,0.0724,0.2067,0.0236
strong,ofast_omp_improved,8,64,8,14,8,16384,16384,500,2.9361,2.8074,2.7362,0.0728,0.1651,0.0232
strong,ofast_omp_improved,8,128,16,7,1,16384,16384,500,1.6270,1.5682,1.5306,0.0394,0.2038,0.0125
strong,ofast_omp_improved,8,128,16,7,2,16384,16384,500,1.5972,1.5005,1.4623,0.0399,0.1386,0.0126
strong,ofast_omp_improved,8,16,2,56,1,16384,16384,500,11.9970,11.7237,11.4469,0.2808,0.4419,0.1617
strong,ofast_omp_improved,8,16,2,56,2,16384,16384,500,12.7590,12.2345,11.9598,0.2792,1.2993,0.1551
strong,ofast_omp_improved,8,16,2,56,8,16384,16384,500,12.3103,11.7615,11.4867,0.2797,0.7807,0.1674
strong,ofast_omp_improved,4,32,8,14,1,16384,16384,500,5.7888,5.6605,5.5773,0.0859,0.2657,0.0435
strong,ofast_omp_improved,4,32,8,14,2,16384,16384,500,5.8101,5.6180,5.5335,0.0874,0.9163,0.0426
strong,ofast_omp_improved,4,32,8,14,8,16384,16384,500,6.3030,6.1481,6.0627,0.0869,0.7995,0.0445
strong,ofast_omp_improved,4,64,16,7,1,16384,16384,500,3.1657,3.0982,3.0566,0.0450,0.1851,0.0259
strong,ofast_omp_improved,4,64,16,7,2,16384,16384,500,3.2236,3.1571,3.1152,0.0431,0.2568,0.0244
strong,ofast_omp_improved,4,64,16,7,8,16384,16384,500,3.1601,3.0929,3.0521,0.0440,0.1710,0.0238
strong,ofast_omp_improved,4,8,2,56,2,16384,16384,500,23.4958,23.2065,22.9002,0.3070,1.1784,0.1773
strong,ofast_omp_improved,4,8,2,56,1,16384,16384,500,23.8154,23.2897,22.9855,0.3084,1.2732,0.1858
